,Unnamed: 0,userid,placeid,frequency,id_x,created_at,lng,lat,photos_count_x,checkins_count,users_count,radius_meters,highlights_count_x,items_count_x,max_items_count,spot_categories,state,id_y,bookmarked_spots_count,challenge_pin_count,country_pin_count,highlights_count_y,items_count_y,photos_count_y,pins_count,province_pin_count,region_pin_count,state_pin_count,trips_count,friends_count,stamps_count,checkin_num,places_num,ts,cluster
6,9,15,343699,1,343699,2010-01-08T13:47:39Z,0.8970684777050775,0.7085774282906805,2,0.006029720687777173,49,100,0,4,10,"[{'url': '/categories/145', 'name': 'Student Center'}]",Pennsylvania,15,0,7,2,0,7,2,14,0,7,5,0,0.04533333333333334,13,0.2,13,0.434608541144641,7
4,6,15,14710,1,14710,2009-06-06T20:53:27Z,0.4187755460225693,0.6180877160653588,151,0.16964910915739517,2205,75,8,11,10,"[{'url': '/categories/230', 'name': 'Apple Store'}]",California,15,0,7,2,0,7,2,14,0,7,5,0,0.04533333333333334,13,0.2,13,0.1927475330227857,5
9,12,15,7198013,1,7198013,2011-04-08T18:48:13Z,0.41880533383870566,0.6179959041156029,87,0.03473897144635494,380,500,11,10,10,"[{'url': '/categories/232', 'name': 'Conference'}]",California,15,0,7,2,0,7,2,14,0,7,5,0,0.04533333333333334,13,0.2,13,0.9450167191302157,6
1,2,15,9073,1,9073,2009-02-07T01:47:24Z,0.4189196513799238,0.618411629578586,114,0.10324437874426204,1659,100,14,10,10,"[{'url': '/categories/60', 'name': 'Other - Architecture'}]",California,15,0,7,2,0,7,2,14,0,7,5,0,0.04533333333333334,13,0.2,13,0.05842499670564649,5
5,7,15,27439,1,27439,2009-09-23T07:11:27Z,0.42318476123058857,0.6024269401727487,16,0.026686376721388003,301,100,1,10,10,"[{'url': '/categories/462', 'name': 'AMC Theatre'}]",California,15,0,7,2,0,7,2,14,0,7,5,0,0.04533333333333334,13,0.2,13,0.31432502074269664,5
7,10,15,548763,1,548763,2010-02-13T00:51:57Z,0.42327608950646,0.6026633291201304,1,0.0004668170855053295,8,75,0,1,10,"[{'url': '/categories/186', 'name': 'Bank & Financial'}]",California,15,0,7,2,0,7,2,14,0,7,5,0,0.04533333333333334,13,0.2,13,0.47436996569328116,5
0,1,15,8947,2,8947,2008-12-16T23:14:05Z,0.4230205817016748,0.6026309082723942,91,0.12059441375554346,1186,200,20,10,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]",California,15,0,7,2,0,7,2,14,0,7,5,0,0.04533333333333334,13,0.2,13,0.0,5
8,11,15,1050882,1,1050882,2010-05-02T01:52:11Z,0.42340000707280634,0.6026240429052774,0,0.0008558313234264374,18,75,0,1,10,"[{'url': '/categories/119', 'name': 'Gas & Automotive'}]",California,15,0,7,2,0,7,2,14,0,7,5,0,0.04533333333333334,13,0.2,13,0.5618752907137399,5
17,20,37,66890,1,66890,2009-10-28T20:42:45Z,0.4668029724937919,0.4941455162876738,11,0.013343188360694001,189,300,2,10,10,"[{'url': '/categories/11', 'name': 'Mall'}]",California,37,0,5,1,0,3,2,8,0,3,2,0,0.005333333333333334,22,0.5555555555555556,25,0.3542009074382513,1
18,21,37,123005,1,123005,2009-11-22T21:27:51Z,0.4672007507573075,0.4942803312210311,4,0.003151015327160974,58,75,0,3,10,"[{'url': '/categories/444', 'name': 'In-N-Out Burger'}]",California,37,0,5,1,0,3,2,8,0,3,2,0,0.005333333333333334,22,0.5555555555555556,25,0.3822675709193568,1
29,32,37,1133205,1,1133205,2010-05-18T05:08:58Z,0.46692263981984494,0.49549293355844704,0,0.0003890142379211079,8,75,0,1,10,"[{'url': '/categories/154', 'name': 'Burgers'}]",California,37,0,5,1,0,3,2,8,0,3,2,0,0.005333333333333334,22,0.5555555555555556,25,0.579968706412405,6
25,28,37,831968,1,831968,2010-03-30T19:04:10Z,0.46692346242240057,0.49524669938330246,0,0.0004279156617132187,8,75,0,1,10,"[{'url': '/categories/119', 'name': 'Gas & Automotive'}]",California,37,0,5,1,0,3,2,8,0,3,2,0,0.005333333333333334,22,0.5555555555555556,25,0.5256772077652272,1
30,33,37,1148935,2,1148935,2010-05-21T18:50:47Z,0.466728242340565,0.49367960402221134,1,0.000544619933089551,3,75,0,0,10,"[{'url': '/categories/118', 'name': 'Health & Fitness'}]",California,37,0,5,1,0,3,2,8,0,3,2,0,0.005333333333333334,22,0.5555555555555556,25,0.5839724028389632,6
19,22,37,300105,1,300105,2009-12-31T04:03:31Z,0.01984122316619219,0.05593573099450122,9,0.004784875126429627,80,75,2,5,10,"[{'url': '/categories/49', 'name': 'Luxury Hotel'}]",Hawaii,37,0,5,1,0,3,2,8,0,3,2,0,0.005333333333333334,22,0.5555555555555556,25,0.42518360857413384,2
34,37,37,2387533,1,2387533,2010-08-25T02:55:50Z,0.019838394602273768,0.05595863059253636,0,0.0009725355948027698,24,100,0,0,10,"[{'url': '/categories/202', 'name': 'Discount Store'}]",Hawaii,37,0,5,1,0,3,2,8,0,3,2,0,0.005333333333333334,22,0.5555555555555556,25,0.6908699644863674,2
13,16,37,43229,1,43229,2009-10-10T22:06:29Z,0.02151376063203636,0.056145587171028244,17,0.004862677974013849,97,300,0,10,10,"[{'url': '/categories/113', 'name': 'Big Blue Wet Thing'}]",Hawaii,37,0,5,1,0,3,2,8,0,3,2,0,0.005333333333333334,22,0.5555555555555556,25,0.33408339348652305,2
31,34,37,1194745,2,1194745,2010-05-30T01:01:29Z,0.4642940179725086,0.49767661088923787,0,0.00031121139033688633,6,150,0,0,10,"[{'url': '/categories/55', 'name': 'Other - Parks '}]",California,37,0,5,1,0,3,2,8,0,3,2,0,0.005333333333333334,22,0.5555555555555556,25,0.5932311446777909,6
